VID,SPEED,ACCEL,XWay,Lane,Dir,Seg,Pos,ts,te
404,45,0.001,0,2,1,95,505063,70000,70001
404,44,-0.001,0,2,1,95,504998,71000,71001
404,45,0.001,0,2,1,95,504933,72000,72001
404,44,-0.001,0,2,1,95,504868,73000,73001
404,44,0.0,0,2,1,95,504803,74000,74001
404,45,0.001,0,2,1,95,504737,75000,75001
404,44,-0.001,0,2,1,95,504672,76000,76001
404,45,0.001,0,2,1,95,504607,77000,77001
404,44,-0.001,0,2,1,95,504542,78000,78001
404,45,0.001,0,3,1,95,504476,79000,79001
404,44,-0.001,0,3,1,95,504411,80000,80001
404,45,0.001,0,3,1,95,504346,81000,81001
404,44,-0.001,0,3,1,95,504281,82000,82001
404,45,0.001,0,3,1,95,504215,83000,83001
404,44,-0.001,0,3,1,95,504150,84000,84001
404,45,0.001,0,3,1,95,504085,85000,85001
404,44,-0.001,0,3,1,95,504020,86000,86001
404,44,0.0,0,3,1,95,503954,87000,87001
404,45,0.001,0,3,1,95,503889,88000,88001
404,44,-0.001,0,3,1,95,503824,89000,89001
404,45,0.001,0,3,1,95,503759,90000,90001
404,44,-0.001,0,2,1,95,503693,91000,91001
404,45,0.001,0,2,1,95,503628,92000,92001
404,44,-0.001,0,2,1,95,503563,93000,93001
404,45,0.001,0,2,1,95,503498,94000,94001
404,44,-0.001,0,2,1,95,503432,95000,95001
404,45,0.001,0,2,1,95,503367,96000,96001
404,44,-0.001,0,2,1,95,503302,97000,97001
404,44,0.0,0,2,1,95,503237,98000,98001
404,45,0.001,0,2,1,95,503171,99000,99001
404,44,-0.001,0,2,1,95,503106,100000,100001
404,45,0.001,0,2,1,95,503041,101000,101001
404,44,-0.001,0,2,1,95,502976,102000,102001
404,45,0.001,0,2,1,95,502910,103000,103001
404,44,-0.001,0,2,1,95,502845,104000,104001
404,45,0.001,0,2,1,95,502780,105000,105001
404,44,-0.001,0,2,1,95,502715,106000,106001
404,44,0.0,0,2,1,95,502649,107000,107001
404,45,0.001,0,2,1,95,502584,108000,108001
404,44,-0.001,0,2,1,95,502519,109000,109001
404,45,0.001,0,2,1,95,502454,110000,110001
404,44,-0.001,0,2,1,95,502388,111000,111001
404,45,0.001,0,2,1,95,502323,112000,112001
404,44,-0.001,0,2,1,95,502258,113000,113001
404,45,0.001,0,2,1,95,502193,114000,114001
404,44,-0.001,0,2,1,95,502127,115000,115001
404,45,0.001,0,2,1,95,502062,116000,116001
404,44,-0.001,0,2,1,95,501997,117000,117001
404,44,0.0,0,2,1,95,501932,118000,118001
404,45,0.001,0,1,1,95,501866,119000,119001
404,44,-0.001,0,1,1,95,501801,120000,120001
404,45,0.001,0,1,1,95,501736,121000,121001
404,44,-0.001,0,1,1,95,501671,122000,122001
404,45,0.001,0,1,1,95,501605,123000,123001
404,44,-0.001,0,1,1,94,501540,124000,124001
404,45,0.001,0,1,1,94,501475,125000,125001
404,44,-0.001,0,1,1,94,501410,126000,126001
404,45,0.001,0,1,1,94,501344,127000,127001
404,44,-0.001,0,1,1,94,501279,128000,128001
404,44,0.0,0,1,1,94,501214,129000,129001
404,45,0.001,0,1,1,94,501149,130000,130001
404,44,-0.001,0,1,1,94,501084,131000,131001
404,45,0.001,0,1,1,94,501018,132000,132001
404,44,-0.001,0,1,1,94,500953,133000,133001
404,45,0.001,0,2,1,94,500888,134000,134001
404,44,-0.001,0,2,1,94,500823,135000,135001
404,45,0.001,0,2,1,94,500757,136000,136001
404,44,-0.001,0,2,1,94,500692,137000,137001
404,44,0.0,0,2,1,94,500628,138000,138001
404,42,-0.002,0,2,1,94,500567,139000,139001
404,41,-0.001,0,2,1,94,500507,140000,140001
404,41,0.0,0,2,1,94,500447,141000,141001
404,42,0.001,0,2,1,94,500384,142000,142001
404,44,0.002,0,2,1,94,500320,143000,143001
404,45,0.001,0,2,1,94,500255,144000,144001
404,44,-0.001,0,2,1,94,500190,145000,145001
404,45,0.001,0,2,1,94,500125,146000,146001
404,44,-0.001,0,2,1,94,500059,147000,147001
404,45,0.001,0,2,1,94,499994,148000,148001
404,44,-0.001,0,2,1,94,499929,149000,149001
404,45,0.001,0,2,1,94,499864,150000,150001
404,44,-0.001,0,2,1,94,499798,151000,151001
404,43,-0.001,0,3,1,94,499735,152000,152001
404,44,0.001,0,3,1,94,499671,153000,153001
404,44,0.0,0,3,1,94,499606,154000,154001
404,45,0.001,0,3,1,94,499541,155000,155001
404,44,-0.001,0,3,1,94,499475,156000,156001
404,45,0.001,0,3,1,94,499410,157000,157001
404,44,-0.001,0,3,1,94,499345,158000,158001
404,45,0.001,0,3,1,94,499280,159000,159001
404,44,-0.001,0,3,1,94,499214,160000,160001
404,45,0.001,0,3,1,94,499149,161000,161001
404,44,-0.001,0,2,1,94,499084,162000,162001
404,45,0.001,0,2,1,94,499019,163000,163001
404,44,-0.001,0,2,1,94,498953,164000,164001
404,45,0.001,0,2,1,94,498888,165000,165001
404,44,-0.001,0,2,1,94,498823,166000,166001
404,44,0.0,0,2,1,94,498758,167000,167001
404,45,0.001,0,2,1,94,498692,168000,168001
404,44,-0.001,0,2,1,94,498627,169000,169001
404,45,0.001,0,2,1,94,498562,170000,170001
404,44,-0.001,0,2,1,94,498497,171000,171001
404,45,0.001,0,2,1,94,498431,172000,172001
404,44,-0.001,0,2,1,94,498366,173000,173001
404,45,0.001,0,2,1,94,498301,174000,174001
404,44,-0.001,0,2,1,94,498236,175000,175001
404,45,0.001,0,2,1,94,498170,176000,176001
404,44,-0.001,0,2,1,94,498105,177000,177001
404,44,0.0,0,2,1,94,498040,178000,178001
404,45,0.001,0,2,1,94,497975,179000,179001
404,44,-0.001,0,2,1,94,497909,180000,180001
404,45,0.001,0,2,1,94,497844,181000,181001
404,44,-0.001,0,2,1,94,497779,182000,182001
404,45,0.001,0,2,1,94,497714,183000,183001
404,44,-0.001,0,2,1,94,497648,184000,184001
404,45,0.001,0,2,1,94,497583,185000,185001
404,44,-0.001,0,2,1,94,497518,186000,186001
404,45,0.001,0,2,1,94,497453,187000,187001
404,44,-0.001,0,2,1,94,497387,188000,188001
404,44,0.0,0,2,1,94,497322,189000,189001
404,45,0.001,0,1,1,94,497257,190000,190001
404,44,-0.001,0,1,1,94,497192,191000,191001
404,45,0.001,0,1,1,94,497126,192000,192001
404,44,-0.001,0,1,1,94,497061,193000,193001
404,45,0.001,0,1,1,94,496996,194000,194001
404,44,-0.001,0,1,1,94,496931,195000,195001
404,45,0.001,0,1,1,94,496865,196000,196001
404,44,-0.001,0,1,1,94,496800,197000,197001
404,44,0.0,0,1,1,94,496735,198000,198001
404,45,0.001,0,1,1,94,496670,199000,199001
404,44,-0.001,0,1,1,94,496605,200000,200001
404,45,0.001,0,1,1,94,496539,201000,201001
404,44,-0.001,0,1,1,94,496474,202000,202001
404,45,0.001,0,1,1,94,496409,203000,203001
404,44,-0.001,0,1,1,94,496344,204000,204001
404,45,0.001,0,1,1,93,496278,205000,205001
404,44,-0.001,0,1,1,93,496213,206000,206001
404,45,0.001,0,1,1,93,496148,207000,207001
404,44,-0.001,0,1,1,93,496083,208000,208001
404,44,0.0,0,1,1,93,496017,209000,209001
404,45,0.001,0,1,1,93,495952,210000,210001
404,44,-0.001,0,1,1,93,495887,211000,211001
404,45,0.001,0,1,1,93,495822,212000,212001
404,44,-0.001,0,1,1,93,495756,213000,213001
404,45,0.001,0,1,1,93,495691,214000,214001
404,44,-0.001,0,1,1,93,495626,215000,215001
404,45,0.001,0,2,1,93,495561,216000,216001
404,44,-0.001,0,2,1,93,495495,217000,217001
404,45,0.001,0,2,1,93,495430,218000,218001
404,44,-0.001,0,2,1,93,495365,219000,219001
404,44,0.0,0,2,1,93,495300,220000,220001
404,45,0.001,0,2,1,93,495234,221000,221001
404,44,-0.001,0,2,1,93,495169,222000,222001
404,45,0.001,0,2,1,93,495104,223000,223001
404,44,-0.001,0,2,1,93,495039,224000,224001
404,45,0.001,0,2,1,93,494973,225000,225001
404,44,-0.001,0,2,1,93,494908,226000,226001
404,45,0.001,0,2,1,93,494843,227000,227001
404,44,-0.001,0,2,1,93,494778,228000,228001
404,45,0.001,0,2,1,93,494712,229000,229001
404,44,-0.001,0,2,1,93,494647,230000,230001
404,45,0.001,0,2,1,93,494582,231000,231001
404,44,-0.001,0,1,1,93,494517,232000,232001
404,45,0.001,0,1,1,93,494451,233000,233001
404,44,-0.001,0,1,1,93,494386,234000,234001
404,44,0.0,0,1,1,93,494321,235000,235001
404,45,0.001,0,1,1,93,494256,236000,236001
404,44,-0.001,0,1,1,93,494190,237000,237001
404,45,0.001,0,1,1,93,494125,238000,238001
404,44,-0.001,0,1,1,93,494060,239000,239001
404,45,0.001,0,1,1,93,493995,240000,240001
404,44,-0.001,0,1,1,93,493929,241000,241001
404,45,0.001,0,1,1,93,493864,242000,242001
404,44,-0.001,0,2,1,93,493799,243000,243001
404,45,0.001,0,2,1,93,493734,244000,244001
404,44,-0.001,0,2,1,93,493668,245000,245001
404,45,0.001,0,2,1,93,493603,246000,246001
404,44,-0.001,0,2,1,93,493538,247000,247001
404,44,0.0,0,2,1,93,493473,248000,248001
404,45,0.001,0,2,1,93,493407,249000,249001
404,44,-0.001,0,2,1,93,493342,250000,250001
404,45,0.001,0,2,1,93,493277,251000,251001
404,44,-0.001,0,2,1,93,493212,252000,252001
404,45,0.001,0,2,1,93,493146,253000,253001
404,44,-0.001,0,2,1,93,493081,254000,254001
404,45,0.001,0,2,1,93,493016,255000,255001
404,44,-0.001,0,3,1,93,492951,256000,256001
404,44,0.0,0,3,1,93,492886,257000,257001
404,45,0.001,0,3,1,93,492820,258000,258001
404,44,-0.001,0,3,1,93,492755,259000,259001
404,45,0.001,0,3,1,93,492690,260000,260001
404,44,-0.001,0,3,1,93,492625,261000,261001
404,45,0.001,0,3,1,93,492559,262000,262001
404,44,-0.001,0,3,1,93,492494,263000,263001
404,45,0.001,0,3,1,93,492429,264000,264001
404,44,-0.001,0,3,1,93,492364,265000,265001
404,45,0.001,0,3,1,93,492298,266000,266001
404,44,-0.001,0,2,1,93,492233,267000,267001
404,44,0.0,0,2,1,93,492168,268000,268001
404,45,0.001,0,2,1,93,492103,269000,269001
404,44,-0.001,0,2,1,93,492037,270000,270001
404,45,0.001,0,2,1,93,491972,271000,271001
404,44,-0.001,0,2,1,93,491907,272000,272001
404,45,0.001,0,2,1,93,491842,273000,273001
404,44,-0.001,0,2,1,93,491776,274000,274001
404,45,0.001,0,2,1,93,491711,275000,275001
404,44,-0.001,0,2,1,93,491646,276000,276001
404,45,0.001,0,2,1,93,491581,277000,277001
404,44,-0.001,0,2,1,93,491515,278000,278001
404,44,0.0,0,2,1,93,491450,279000,279001
404,45,0.001,0,2,1,93,491385,280000,280001
404,44,-0.001,0,2,1,93,491320,281000,281001
404,45,0.001,0,2,1,93,491254,282000,282001
404,44,-0.001,0,2,1,93,491189,283000,283001
404,45,0.001,0,2,1,93,491124,284000,284001
404,44,-0.001,0,2,1,93,491059,285000,285001
404,45,0.001,0,2,1,92,490993,286000,286001
404,44,-0.001,0,2,1,92,490928,287000,287001
404,45,0.001,0,2,1,92,490863,288000,288001
404,44,-0.001,0,2,1,92,490798,289000,289001
404,44,0.0,0,2,1,92,490732,290000,290001
404,45,0.001,0,2,1,92,490667,291000,291001
404,44,-0.001,0,2,1,92,490602,292000,292001
404,45,0.001,0,2,1,92,490537,293000,293001
404,44,-0.001,0,2,1,92,490471,294000,294001
404,45,0.001,0,2,1,92,490406,295000,295001
404,44,-0.001,0,3,1,92,490341,296000,296001
404,44,0.0,0,3,1,92,490276,297000,297001
404,42,-0.002,0,3,1,92,490215,298000,298001
404,40,-0.002,0,3,1,92,490157,299000,299001
404,37,-0.003,0,3,1,92,490103,300000,300001
404,32,-0.005,0,3,1,92,490056,301000,301001
404,31,-0.001,0,3,1,92,490010,302000,302001
404,35,0.004,0,3,1,92,489960,303000,303001
404,39,0.004,0,3,1,92,489903,304000,304001
404,43,0.004,0,3,1,92,489839,305000,305001
404,44,0.001,0,3,1,92,489774,306000,306001
404,45,0.001,0,3,1,92,489709,307000,307001
404,44,-0.001,0,3,1,92,489644,308000,308001
404,45,0.001,0,3,1,92,489578,309000,309001
404,44,-0.001,0,3,1,92,489513,310000,310001
404,45,0.001,0,2,1,92,489448,311000,311001
404,44,-0.001,0,2,1,92,489383,312000,312001
404,44,0.0,0,2,1,92,489318,313000,313001
404,45,0.001,0,2,1,92,489252,314000,314001
404,44,-0.001,0,2,1,92,489187,315000,315001
404,45,0.001,0,2,1,92,489122,316000,316001
404,44,-0.001,0,2,1,92,489057,317000,317001
404,45,0.001,0,2,1,92,488991,318000,318001
404,44,-0.001,0,2,1,92,488926,319000,319001
404,45,0.001,0,2,1,92,488861,320000,320001
404,44,-0.001,0,2,1,92,488796,321000,321001
404,45,0.001,0,3,1,92,488730,322000,322001
404,44,-0.001,0,3,1,92,488665,323000,323001
404,45,0.001,0,3,1,92,488600,324000,324001
404,44,-0.001,0,3,1,92,488535,325000,325001
404,44,0.0,0,3,1,92,488469,326000,326001
404,45,0.001,0,3,1,92,488404,327000,327001
404,44,-0.001,0,3,1,92,488339,328000,328001
404,45,0.001,0,3,1,92,488274,329000,329001
404,44,-0.001,0,3,1,92,488208,330000,330001
404,45,0.001,0,3,1,92,488143,331000,331001
404,44,-0.001,0,3,1,92,488078,332000,332001
404,45,0.001,0,3,1,92,488013,333000,333001
404,44,-0.001,0,3,1,92,487947,334000,334001
404,45,0.001,0,3,1,92,487882,335000,335001
404,44,-0.001,0,3,1,92,487817,336000,336001
404,44,0.0,0,3,1,92,487752,337000,337001
404,45,0.001,0,3,1,92,487686,338000,338001
404,44,-0.001,0,3,1,92,487621,339000,339001
404,45,0.001,0,3,1,92,487556,340000,340001
404,44,-0.001,0,3,1,92,487491,341000,341001
404,45,0.001,0,3,1,92,487425,342000,342001
404,44,-0.001,0,3,1,92,487360,343000,343001
404,45,0.001,0,3,1,92,487295,344000,344001
404,44,-0.001,0,3,1,92,487230,345000,345001
404,45,0.001,0,3,1,92,487164,346000,346001
404,44,-0.001,0,2,1,92,487099,347000,347001
404,44,0.0,0,2,1,92,487034,348000,348001
404,45,0.001,0,2,1,92,486969,349000,349001
404,44,-0.001,0,2,1,92,486903,350000,350001
404,45,0.001,0,2,1,92,486838,351000,351001
404,44,-0.001,0,2,1,92,486773,352000,352001
404,45,0.001,0,2,1,92,486708,353000,353001
404,44,-0.001,0,2,1,92,486642,354000,354001
404,45,0.001,0,2,1,92,486577,355000,355001
404,44,-0.001,0,2,1,92,486512,356000,356001
404,45,0.001,0,2,1,92,486447,357000,357001
404,44,-0.001,0,2,1,92,486381,358000,358001
404,44,0.0,0,2,1,92,486316,359000,359001
404,45,0.001,0,2,1,92,486251,360000,360001
404,44,-0.001,0,2,1,92,486186,361000,361001
404,45,0.001,0,2,1,92,486120,362000,362001
404,44,-0.001,0,2,1,92,486055,363000,363001
404,45,0.001,0,1,1,92,485990,364000,364001
404,44,-0.001,0,1,1,92,485925,365000,365001
404,45,0.001,0,1,1,92,485859,366000,366001
404,44,-0.001,0,1,1,92,485794,367000,367001
404,45,0.001,0,1,1,91,485729,368000,368001
404,44,-0.001,0,1,1,91,485664,369000,369001
404,44,0.0,0,1,1,91,485599,370000,370001
404,45,0.001,0,1,1,91,485533,371000,371001
404,44,-0.001,0,1,1,91,485468,372000,372001
404,45,0.001,0,1,1,91,485403,373000,373001
404,44,-0.001,0,1,1,91,485338,374000,374001
404,45,0.001,0,1,1,91,485272,375000,375001
404,44,-0.001,0,1,1,91,485207,376000,376001
404,45,0.001,0,1,1,91,485142,377000,377001
404,44,-0.001,0,1,1,91,485077,378000,378001
404,45,0.001,0,1,1,91,485011,379000,379001
404,44,-0.001,0,1,1,91,484946,380000,380001
404,44,0.0,0,1,1,91,484881,381000,381001
404,45,0.001,0,1,1,91,484816,382000,382001
404,44,-0.001,0,2,1,91,484750,383000,383001
404,45,0.001,0,2,1,91,484685,384000,384001
404,44,-0.001,0,2,1,91,484620,385000,385001
404,45,0.001,0,2,1,91,484555,386000,386001
404,44,-0.001,0,2,1,91,484489,387000,387001
404,45,0.001,0,2,1,91,484424,388000,388001
404,44,-0.001,0,2,1,91,484359,389000,389001
404,45,0.001,0,2,1,91,484294,390000,390001
404,44,-0.001,0,2,1,91,484228,391000,391001
404,45,0.001,0,2,1,91,484163,392000,392001
404,44,-0.001,0,3,1,91,484098,393000,393001
404,43,-0.001,0,3,1,91,484035,394000,394001
404,41,-0.002,0,3,1,91,483975,395000,395001
404,44,0.003,0,3,1,91,483911,396000,396001
404,44,0.0,0,3,1,91,483845,397000,397001
404,45,0.001,0,3,1,91,483780,398000,398001
404,44,-0.001,0,3,1,91,483715,399000,399001
404,45,0.001,0,3,1,91,483650,400000,400001
404,44,-0.001,0,3,1,91,483584,401000,401001
404,45,0.001,0,3,1,91,483519,402000,402001
404,44,-0.001,0,3,1,91,483454,403000,403001
404,45,0.001,0,3,1,91,483389,404000,404001
404,44,-0.001,0,3,1,91,483323,405000,405001
404,45,0.001,0,3,1,91,483258,406000,406001
404,44,-0.001,0,3,1,91,483193,407000,407001
404,44,0.0,0,2,1,91,483128,408000,408001
404,45,0.001,0,2,1,91,483062,409000,409001
404,44,-0.001,0,2,1,91,482997,410000,410001
404,45,0.001,0,2,1,91,482932,411000,411001
404,44,-0.001,0,2,1,91,482867,412000,412001
404,45,0.001,0,2,1,91,482801,413000,413001
404,44,-0.001,0,2,1,91,482736,414000,414001
404,45,0.001,0,2,1,91,482671,415000,415001
404,44,-0.001,0,2,1,91,482606,416000,416001
404,45,0.001,0,2,1,91,482540,417000,417001
404,44,-0.001,0,2,1,91,482475,418000,418001
404,44,0.0,0,1,1,91,482410,419000,419001
404,45,0.001,0,1,1,91,482345,420000,420001
404,44,-0.001,0,1,1,91,482280,421000,421001
404,45,0.001,0,1,1,91,482214,422000,422001
404,44,-0.001,0,1,1,91,482149,423000,423001
404,45,0.001,0,1,1,91,482084,424000,424001
404,44,-0.001,0,1,1,91,482019,425000,425001
404,45,0.001,0,1,1,91,481953,426000,426001
404,44,-0.001,0,1,1,91,481888,427000,427001
404,45,0.001,0,1,1,91,481823,428000,428001
404,44,-0.001,0,1,1,91,481758,429000,429001
404,44,0.0,0,1,1,91,481692,430000,430001
404,45,0.001,0,1,1,91,481627,431000,431001
404,44,-0.001,0,1,1,91,481562,432000,432001
404,45,0.001,0,1,1,91,481497,433000,433001
404,44,-0.001,0,1,1,91,481431,434000,434001
404,45,0.001,0,1,1,91,481366,435000,435001
404,44,-0.001,0,1,1,91,481301,436000,436001
404,45,0.001,0,1,1,91,481236,437000,437001
404,44,-0.001,0,1,1,91,481170,438000,438001
404,44,0.0,0,1,1,91,481105,439000,439001
404,45,0.001,0,1,1,91,481040,440000,440001
404,44,-0.001,0,1,1,91,480975,441000,441001
404,45,0.001,0,1,1,91,480909,442000,442001
404,44,-0.001,0,1,1,91,480844,443000,443001
404,45,0.001,0,1,1,91,480779,444000,444001
404,44,-0.001,0,2,1,91,480714,445000,445001
404,45,0.001,0,2,1,91,480648,446000,446001
404,44,-0.001,0,2,1,91,480583,447000,447001
404,45,0.001,0,2,1,91,480518,448000,448001
404,44,-0.001,0,2,1,90,480453,449000,449001
404,44,0.0,0,2,1,90,480387,450000,450001
404,45,0.001,0,2,1,90,480322,451000,451001
404,44,-0.001,0,2,1,90,480257,452000,452001
404,45,0.001,0,2,1,90,480192,453000,453001
404,44,-0.001,0,2,1,90,480126,454000,454001
404,45,0.001,0,2,1,90,480061,455000,455001
404,44,-0.001,0,2,1,90,479996,456000,456001
404,45,0.001,0,2,1,90,479931,457000,457001
404,44,-0.001,0,2,1,90,479865,458000,458001
404,45,0.001,0,2,1,90,479800,459000,459001
404,44,-0.001,0,3,1,90,479735,460000,460001
404,43,-0.001,0,3,1,90,479672,461000,461001
404,40,-0.003,0,3,1,90,479613,462000,462001
404,38,-0.002,0,3,1,90,479557,463000,463001
404,37,-0.001,0,3,1,90,479503,464000,464001
404,36,-0.001,0,3,1,90,479450,465000,465001
404,34,-0.002,0,3,1,90,479400,466000,466001
404,33,-0.001,0,3,1,90,479352,467000,467001
404,32,-0.001,0,3,1,90,479305,468000,468001
404,32,0.0,0,3,1,90,479258,469000,469001
404,33,0.001,0,3,1,90,479210,470000,470001
404,33,0.0,0,3,1,90,479161,471000,471001
404,35,0.002,0,3,1,90,479110,472000,472001
404,36,0.001,0,3,1,90,479058,473000,473001
404,37,0.001,0,3,1,90,479004,474000,474001
404,39,0.002,0,3,1,90,478948,475000,475001
404,39,0.0,0,3,1,90,478891,476000,476001
404,39,0.0,0,3,1,90,478834,477000,477001
404,41,0.002,0,3,1,90,478774,478000,478001
404,42,0.001,0,3,1,90,478712,479000,479001
404,44,0.002,0,3,1,90,478647,480000,480001
404,45,0.001,0,3,1,90,478582,481000,481001
404,44,-0.001,0,2,1,90,478516,482000,482001
404,45,0.001,0,2,1,90,478451,483000,483001
404,44,-0.001,0,2,1,90,478386,484000,484001
404,44,0.0,0,2,1,90,478321,485000,485001
404,45,0.001,0,2,1,90,478255,486000,486001
404,44,-0.001,0,2,1,90,478190,487000,487001
404,44,0.0,0,2,1,90,478126,488000,488001
404,43,-0.001,0,2,1,90,478063,489000,489001
404,43,0.0,0,2,1,90,477999,490000,490001
404,43,0.0,0,2,1,90,477935,491000,491001
404,44,0.001,0,3,1,90,477872,492000,492001
404,44,0.0,0,3,1,90,477807,493000,493001
404,44,0.0,0,3,1,90,477741,494000,494001
404,44,0.0,0,3,1,90,477676,495000,495001
404,44,0.0,0,3,1,90,477611,496000,496001
404,45,0.001,0,3,1,90,477546,497000,497001
404,44,-0.001,0,3,1,90,477481,498000,498001
404,45,0.001,0,3,1,90,477415,499000,499001
404,44,-0.001,0,3,1,90,477350,500000,500001
404,45,0.001,0,3,1,90,477285,501000,501001
404,44,-0.001,0,3,1,90,477220,502000,502001
404,45,0.001,0,3,1,90,477154,503000,503001
404,44,-0.001,0,3,1,90,477089,504000,504001
404,45,0.001,0,3,1,90,477024,505000,505001
404,44,-0.001,0,3,1,90,476959,506000,506001
404,44,0.0,0,3,1,90,476893,507000,507001
404,45,0.001,0,3,1,90,476828,508000,508001
404,44,-0.001,0,3,1,90,476763,509000,509001
404,45,0.001,0,3,1,90,476698,510000,510001
404,44,-0.001,0,3,1,90,476632,511000,511001
404,45,0.001,0,3,1,90,476567,512000,512001
404,44,-0.001,0,3,1,90,476502,513000,513001
404,45,0.001,0,3,1,90,476437,514000,514001
404,44,-0.001,0,3,1,90,476371,515000,515001
404,44,0.0,0,2,1,90,476306,516000,516001
404,44,0.0,0,2,1,90,476242,517000,517001
404,45,0.001,0,2,1,90,476177,518000,518001
404,44,-0.001,0,2,1,90,476112,519000,519001
404,45,0.001,0,2,1,90,476046,520000,520001
404,44,-0.001,0,2,1,90,475981,521000,521001
404,45,0.001,0,2,1,90,475916,522000,522001
404,44,-0.001,0,2,1,90,475851,523000,523001
404,45,0.001,0,2,1,90,475785,524000,524001
404,44,-0.001,0,2,1,90,475720,525000,525001
404,45,0.001,0,2,1,90,475655,526000,526001
404,44,-0.001,0,2,1,90,475590,527000,527001
404,44,0.0,0,2,1,90,475524,528000,528001
404,45,0.001,0,2,1,90,475459,529000,529001
404,44,-0.001,0,1,1,90,475394,530000,530001
404,44,0.0,0,1,1,90,475329,531000,531001
404,44,0.0,0,1,1,90,475264,532000,532001
404,45,0.001,0,1,1,89,475199,533000,533001
404,44,-0.001,0,1,1,89,475133,534000,534001
404,45,0.001,0,1,1,89,475068,535000,535001
404,44,-0.001,0,1,1,89,475003,536000,536001
404,45,0.001,0,1,1,89,474938,537000,537001
404,44,-0.001,0,1,1,89,474872,538000,538001
404,45,0.001,0,1,1,89,474807,539000,539001
404,44,-0.001,0,1,1,89,474742,540000,540001
404,45,0.001,0,1,1,89,474677,541000,541001
404,44,-0.001,0,1,1,89,474611,542000,542001
404,44,0.0,0,1,1,89,474546,543000,543001
404,45,0.001,0,1,1,89,474481,544000,544001
404,44,-0.001,0,1,1,89,474416,545000,545001
404,45,0.001,0,1,1,89,474350,546000,546001
404,44,-0.001,0,1,1,89,474285,547000,547001
404,44,0.0,0,2,1,89,474221,548000,548001
404,42,-0.002,0,2,1,89,474159,549000,549001
404,41,-0.001,0,2,1,89,474099,550000,550001
404,41,0.0,0,2,1,89,474039,551000,551001
404,41,0.0,0,2,1,89,473979,552000,552001
404,41,0.0,0,2,1,89,473919,553000,553001
404,41,0.0,0,2,1,89,473859,554000,554001
404,41,0.0,0,2,1,89,473798,555000,555001
404,42,0.001,0,2,1,89,473738,556000,556001
404,42,0.0,0,2,1,89,473676,557000,557001
404,42,0.0,0,2,1,89,473615,558000,558001
404,42,0.0,0,2,1,89,473553,559000,559001
404,43,0.001,0,1,1,89,473490,560000,560001
